cons_12m,cons_gas_12m,off_peak_forecast_energy,off_peak_forecast_power,imp_cons,margin_net_pow_ele,net_margin,pow_max,churn,off_peak_mean_energy,off_peak_mean_power,off_peak_diff_energy,off_peak_diff_power,origin,channel,discount_energy,active_products,antiquity
46121,1542867,0.1152369999999999,40.606701,523.68,5.52,533.46,16.5,0,0.123776,40.90153658,-0.007016000000000008,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
7726,0,0.162327,44.31137796,0.0,33.12,89.02,13.2,0,0.16917733333333332,44.31137526,-0.00815200000000002,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
9707,0,0.168242,45.30837756,0.0,15.78,111.59,13.856,0,0.1660606666666666,44.26693026,-0.004628000000000104,-1.1999999998124622e-06,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,RECENT
47019,0,0.144902,44.31137796,158.53,19.28,130.14,10.392,0,0.14904449999999997,44.38545035999999,-0.0034229999999998983,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,RECENT
786536,80583,0.1640579999999999,44.31137796,2585.38,25.68,1087.76,11.4,0,0.16801133333333332,44.26693026,-0.004194000000000003,-1.1999999998124622e-06,lxidpiddsbxsbosboudacockeimpuepw,MISSING,NO_DISCOUNT,MULTIPLE,OLD
30776,0,0.1128599999999999,40.606701,0.0,19.29,335.78,25.0,0,0.12036708333333333,40.6474275,-0.007666000000000006,0.16291560000000516,OTHER,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
24838,0,0.115174,40.606701,79.36,21.57,117.44,15.001,0,0.12278558333333334,40.6610035,-0.007801000000000002,0.16291560000000516,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,ONE,RECENT
15411,0,0.1457109999999999,44.31137796,0.0,23.97,19.07,13.0,0,0.14991325,44.370635359999994,-0.0037669999999999926,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
16782,0,0.1152369999999999,40.606701,189.79,6.6,203.35,19.8,0,0.12397108333333334,40.5931235,-0.009328000000000017,0.16291560000000516,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,OLD
26987,0,0.1186359999999999,40.606701,413.68,47.35,316.53,35.0,0,0.1264915833333333,40.68815609999999,-0.008497000000000005,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
20560,0,0.142417,44.31137796,548.89,4.14,255.96,11.0,0,0.14752908333333334,44.29656026,-0.0017409999999999926,0.1777799999999985,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
12157,0,0.160302,44.31137796,0.0,23.4,123.87,10.392,0,0.16642283333333333,44.37063526,-0.006420000000000092,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
13122,0,0.143478,44.31137796,0.0,3.56,150.7,13.2,0,0.14711616666666666,44.29656036,-0.004444999999999977,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
3584,0,0.1152369999999999,41.1052014,32.61,57.72,38.76,23.1,1,0.12406833333333334,40.6212142,-0.009328000000000017,0.6629160000000098,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
2632,0,0.1457109999999999,44.31137796,0.0,14.64,38.62,10.392,0,0.14979741666666666,44.34100536,-0.0037669999999999926,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,ONE,OLD
4792,0,0.144039,45.80687796,0.0,19.42,60.0,12.5,0,0.15000933333333333,44.26693036,-0.007920999999999984,-1.1999999998124622e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
7950,0,0.1152369999999999,40.9390266,113.82,20.0,94.01,15.01,0,0.12397108333333334,40.648679099999995,-0.009328000000000017,0.4962492000000083,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
1856956,41883,0.1152369999999999,40.606701,0.0,43.44,487.42,29.0,0,0.10416750000000001,33.81855169999999,-0.009328000000000017,0.16291560000000516,ldkssxwpmemidmecebumciepifcamkci,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,MULTIPLE,RECENT
324,0,0.14317,44.31137796,0.0,18.62,1.27,13.2,1,0.1474783333333333,44.34100546,-0.005163999999999891,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,OLD
2103,0,0.198096,46.30537836,0.0,27.96,19.0,10.392,0,0.17666533333333334,45.355820560000005,0.04769699999999999,2.1777792000000034,kamkkxfxxuwbdslkwifmmcsiusiuosws,usilxuppasemubllopkaafesmlibmsdf,DISCOUNT,MULTIPLE,RECENT
19593,0,0.143166,44.31137796,0.0,17.45,243.99,13.856,0,0.14725083333333336,44.34100536,-0.0037780000000000036,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
41814,0,0.1165089999999999,40.606701,412.54,10.16,477.42,30.45,0,0.12460291666666663,40.728885,-0.008554999999999993,0.0,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
37969,0,0.114604,40.606701,330.3,44.64,407.98,33.0,0,0.12239216666666665,40.68815609999999,-0.008502999999999983,0.16291560000000516,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,ONE,OLD
41214,0,0.1153599999999999,40.606701,352.08,3.72,505.47,19.8,0,0.12555483333333328,40.728885,-0.0108769999999999,0.0,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
2012791,0,0.144902,44.31137796,50.79,21.52,50.38,13.2,0,0.14887133333333327,44.35582046,-0.0034229999999998983,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,RECENT
20429,0,0.120372,40.606701,0.0,60.39,111.64,26.6,0,0.12779733333333335,40.68815609999999,-0.006756000000000012,0.16291560000000516,kamkkxfxxuwbdslkwifmmcsiusiuosws,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,OLD
5957,0,0.1457109999999999,44.31137796,46.17,24.4,50.71,15.0,0,0.14985533333333334,44.35582046,-0.0037669999999999926,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
6047,0,0.147506,45.80687796,0.0,17.13,86.43,10.392,0,0.15070391666666666,44.40674526,-0.003044999999999992,1.6777787999999987,kamkkxfxxuwbdslkwifmmcsiusiuosws,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
1938393,0,0.143166,44.31137796,513.03,11.95,279.26,13.85,0,0.14713683333333336,44.31137526,-0.0037780000000000036,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
9141,0,0.142881,46.30537836,74.39,29.5,30.9,13.856,0,0.15563433333333332,45.75895026,-0.043550000000000005,-1.4940011999999996,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
4259,0,0.144902,44.31137796,0.0,14.64,64.34,10.392,0,0.14783083333333327,44.355820359999996,-0.0013419999999998988,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,ewpakwlliwisiwduibdlfmalxowmwpci,NO_DISCOUNT,ONE,RECENT
12199,0,0.145877,44.31137796,0.0,23.4,156.21,10.392,0,0.14890383333333332,44.266930159999994,-0.002031000000000005,-1.1999999998124622e-06,ldkssxwpmemidmecebumciepifcamkci,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,RECENT
13859,0,0.146694,44.31137796,0.0,30.22,0.88,13.2,0,0.15121008333333333,44.40026526,-0.0045469999999999955,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
110534,0,0.1169099999999999,40.606701,272.68,32.1,416.74,26.61,0,0.12455424999999999,40.6745798,-0.007793999999999995,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
79090,0,0.114025,40.606701,201.4,12.36,311.76,19.8,0,0.12211708333333332,40.6202755,-0.008961999999999998,0.16291560000000516,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
5162,0,0.0006,0.0,0.0,24.33,80.3,13.86,0,0.0006,0.0,0.0,0.0,lxidpiddsbxsbosboudacockeimpuepw,MISSING,NO_DISCOUNT,ONE,RECENT
88178,0,0.115744,40.606701,611.08,32.88,719.37,33.0,1,0.12317908333333333,40.7017324,-0.006195999999999993,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
22333,0,0.1152369999999999,40.606701,226.86,9.93,234.39,52.5,0,0.12419108333333333,40.728885,-0.009830999999999993,0.0,kamkkxfxxuwbdslkwifmmcsiusiuosws,ewpakwlliwisiwduibdlfmalxowmwpci,NO_DISCOUNT,ONE,RECENT
31653,0,0.120372,40.606701,12.19,108.9,10.32,48.0,0,0.12779733333333335,40.68815609999999,-0.006756000000000012,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
463646,0,0.1152369999999999,40.606701,0.0,11.04,372.55,33.0,0,0.12213983333333334,40.6066995,-0.007016000000000008,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
10602,0,0.120372,40.606701,98.66,36.22,137.56,20.0,0,0.12779733333333335,40.68815609999999,-0.006756000000000012,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
21553,0,0.144149,44.31137796,0.0,19.28,301.91,10.392,1,0.14828216666666663,44.38545035999999,-0.003400999999999904,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
348859,0,0.1165089999999999,40.606701,218.34,4.46,364.43,100.0,0,0.12589958333333331,40.565971499999996,-0.008161000000000002,3.600000006542814e-06,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,ONE,RECENT
7314,0,0.1457109999999999,44.31137796,226.96,27.69,111.5,15.0,0,0.14991325,44.370635459999995,-0.0037669999999999926,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
1129316,0,0.1165089999999999,40.606701,117.71,2.46,172.91,19.72,1,0.12763158333333327,40.565971499999996,-0.008160999999999904,3.600000006542814e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
11399,0,0.186188,45.80687796,206.39,37.56,864.94,12.5,0,0.18941816666666667,45.76093046,-0.0007260000000000044,-1.1999999998124622e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,DISCOUNT,ONE,RECENT
162691,0,0.115744,40.606701,836.8,16.32,677.58,16.4,0,0.12298266666666667,40.565971499999996,-0.007849999999999982,3.600000006542814e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
158223,188601,0.114481,40.606701,940.24,35.81,580.06,40.0,0,0.12235158333333333,40.6745798,-0.008497000000000005,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,MISSING,NO_DISCOUNT,MULTIPLE,OLD
84410,186857,0.1165089999999999,40.606701,302.49,0.7999999999999989,396.63,17.25,0,0.12374941666666667,40.728885,-0.005259,0.0,kamkkxfxxuwbdslkwifmmcsiusiuosws,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,MULTIPLE,RECENT
2887,0,0.146694,44.31137796,0.0,34.68,49.0,13.856,0,0.15064316666666666,44.26693036,-0.005149999999999988,-1.1999999998124622e-06,kamkkxfxxuwbdslkwifmmcsiusiuosws,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,RECENT
8647,0,0.1169,40.606701,37.53,51.96,45.47,20.785,0,0.12404141666666667,40.5659712,-0.006694999999999993,3.600000006542814e-06,lxidpiddsbxsbosboudacockeimpuepw,MISSING,NO_DISCOUNT,ONE,OLD
10,0,0.1457109999999999,44.31137796,0.0,21.52,0.16,13.2,0,0.14985533333333334,44.355820359999996,-0.0037669999999999926,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,RECENT
5682,0,0.1458839999999999,44.31137796,0.0,23.76,82.52,10.392,0,0.1499648333333333,44.40026526,-0.002818000000000015,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,ewpakwlliwisiwduibdlfmalxowmwpci,NO_DISCOUNT,ONE,RECENT
1017579,187578,0.115174,40.606701,11.86,47.0,14.59,29.7,0,0.12275558333333335,40.6474275,-0.007801000000000002,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
16605,227049,0.1169,40.606701,200.09,24.72,183.25,16.5,0,0.12433841666666666,40.7017324,-0.006191999999999989,0.16291560000000516,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,OLD
2502,0,0.1457109999999999,44.31137796,0.0,22.52,35.96,13.856,0,0.14985533333333334,44.355820359999996,-0.0037669999999999926,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,ONE,RECENT
92718,0,0.113323,40.606701,735.06,14.94,848.79,55.0,0,0.12252608333333333,40.6066995,-0.010090999999999989,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,OLD
597,0,0.16304,46.30537836,0.0,20.54,20.73,10.392,0,0.16765266666666667,44.26693046,-0.008664000000000005,-1.1999999998124622e-06,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
64516,21201,0.1186359999999999,40.606701,376.57,22.44,530.16,15.001,1,0.12613616666666663,40.728885,-0.006108000000000002,0.0,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
67923,14693,0.112852,40.606701,469.1,19.92,571.66,20.0,0,0.11997791666666663,40.565971499999996,-0.006461000000000092,3.600000006542814e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
6383,0,0.145541,44.31137796,163.87,34.68,101.81,13.856,0,0.1502605,44.26693036,-0.006297999999999998,-1.1999999998124622e-06,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
7042,0,0.147506,45.80687796,0.0,22.89,102.08,13.856,0,0.15070391666666666,44.40674536,-0.003044999999999992,1.6777787999999987,kamkkxfxxuwbdslkwifmmcsiusiuosws,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
19704,45795,0.1165089999999999,40.606701,147.9,60.84,66.87,25.0,0,0.12445508333333331,40.565971499999996,-0.006418000000000007,3.600000006542814e-06,lxidpiddsbxsbosboudacockeimpuepw,lmkebamcaaclubfxadlmueccxoimlema,NO_DISCOUNT,MULTIPLE,RECENT
15803,0,0.1458839999999999,44.31137796,0.0,37.56,45.07,15.0,0,0.14993883333333333,44.341005259999996,-0.002818000000000015,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
10930,0,0.165793,44.31137796,217.04,14.57,59.82,10.35,0,0.1692034166666667,44.34100546,-0.0024109999999999965,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
15150,0,0.1640579999999999,44.31137796,494.42,29.76,134.5,14.49,0,0.16847991666666662,44.40026526,-0.0035210000000001074,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,ewpakwlliwisiwduibdlfmalxowmwpci,NO_DISCOUNT,ONE,RECENT
3251,0,0.1457109999999999,44.31137796,0.0,10.08,47.33,10.392,0,0.14968158333333334,44.31137526,-0.0037669999999999926,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,ONE,RECENT
4077,0,0.142822,44.31137796,96.52,15.5,59.37,11.0,0,0.14762191666666666,44.34100546,-0.006669000000000008,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,ewpakwlliwisiwduibdlfmalxowmwpci,NO_DISCOUNT,ONE,OLD
16163,0,0.115174,40.606701,155.19,12.9,181.75,20.7,0,0.12269558333333334,40.928688879999996,-0.007801000000000002,0.16291560000000516,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
51558,0,0.159815,44.31137796,0.0,4.83,122.17,10.35,1,0.16589233333333334,44.37063526,-0.006187999999999999,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
1750,0,0.120372,40.606701,6.08,37.39,21.87,16.5,0,0.12779733333333335,40.68815609999999,-0.006756000000000012,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
51774,0,0.1186359999999999,40.606701,406.53,23.66,544.49,26.4,0,0.1264915833333333,40.68815609999999,-0.008497000000000005,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
38268,0,0.114025,40.606701,234.18,23.99,295.02,50.0,0,0.12218650000000002,40.6066995,-0.008961999999999998,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
84527,0,0.1157609999999999,40.606701,325.09,25.44,428.99,21.04,1,0.123658,40.728885,-0.008298,0.0,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
8345,0,0.142065,44.31137796,0.0,27.52,112.04,13.3,0,0.14522116666666665,44.38545035999999,-0.0004880000000000162,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
1540,43,0.1169099999999999,40.606701,1.83,42.48,2.43,17.0,1,0.12513225,40.6745798,-0.009528000000000009,0.16291560000000516,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,MULTIPLE,OLD
1644,0,0.182936,47.80087836,0.0,48.6,27.83,13.856,0,0.19004083333333333,45.760930359999996,-0.004461999999999994,-1.1999999998124622e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,DISCOUNT,ONE,RECENT
4527,0,0.14531,44.31137796,0.0,21.48,63.75,10.392,0,0.14929441666666662,44.38545026,-0.003398000000000012,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
3875,0,0.144902,44.31137796,0.0,17.62,53.89,12.5,0,0.14878474999999994,44.34100546,-0.0034229999999998983,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
8011,0,0.1169,40.606701,89.44,37.39,87.02,16.5,0,0.12417433333333333,40.68815609999999,-0.006191999999999989,0.16291560000000516,kamkkxfxxuwbdslkwifmmcsiusiuosws,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
6569,0,0.14531,44.31137796,163.2,26.04,94.42,10.392,0,0.1495465833333333,44.26693046,-0.003987000000000102,-1.1999999998124622e-06,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
1175,0,0.146694,44.31137796,26.26,26.04,16.97,10.392,0,0.15031691666666666,44.31137546,-0.0045469999999999955,0.17777879999999868,kamkkxfxxuwbdslkwifmmcsiusiuosws,MISSING,NO_DISCOUNT,ONE,OLD
8369,0,0.144152,44.31137796,136.14,34.68,121.33,13.84,0,0.14888825,44.26693036,-0.0045580000000000065,-1.1999999998124622e-06,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
15295,0,0.120372,40.606701,140.32,31.32,156.02,17.320999999999998,0,0.12779733333333335,40.68815609999999,-0.006756000000000012,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
18262,0,0.118646,40.606701,110.9,32.48,159.02,20.0,0,0.12571491666666662,40.6745798,-0.006053000000000086,0.16291560000000516,lxidpiddsbxsbosboudacockeimpuepw,usilxuppasemubllopkaafesmlibmsdf,NO_DISCOUNT,ONE,RECENT
7921,0,0.144902,44.31137796,298.7,18.62,108.67,13.2,0,0.14878474999999994,44.34100546,-0.0034229999999998983,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
52988,24114,0.143166,44.31137796,797.2,10.84,362.56,12.5,0,0.14707983333333333,44.296560459999995,-0.0037780000000000036,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,MULTIPLE,RECENT
1616,0,0.165793,44.31137796,0.0,10.03,21.2,10.35,0,0.16500566666666666,44.296560459999995,-0.0024109999999999965,0.17777879999999868,ldkssxwpmemidmecebumciepifcamkci,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,OLD
916711,0,0.144902,44.31137796,0.0,19.2,107.14,10.392,0,0.14905333333333334,44.35582046,-0.0045580000000000065,-1.1999999998124622e-06,ldkssxwpmemidmecebumciepifcamkci,MISSING,NO_DISCOUNT,ONE,OLD
2274,0,0.1457109999999999,44.31137796,57.66,30.98,35.18,15.0,0,0.15055983333333334,44.38545035999999,-0.005532999999999982,0.17777879999999868,lxidpiddsbxsbosboudacockeimpuepw,foosdfpfkusacimwkcsosbicdxkicaua,NO_DISCOUNT,ONE,RECENT
